threshold,acc,frac_strong,cost_mean,n
0.05,0.6456150027578599,0.7923331494760066,0.0015546908990623275,3626
0.1,0.6456150027578599,0.7898510755653613,0.0015441360728075016,3626
0.15,0.6442360728075014,0.7848869277440707,0.001518292608935466,3626
0.2,0.6434087148372862,0.7815774958632101,0.001503269553226696,3626
0.25,0.6423055708769995,0.7785438499724214,0.001491943132928847,3626
0.3,0.6395477109762824,0.7686155543298401,0.0014418713734142305,3626
0.35,0.6354109211252068,0.753723110865968,0.0013630872035300607,3626
0.4,0.6309983452840596,0.7357970215113072,0.0013181840044125758,3626
0.45,0.6238279095421952,0.7068394925537783,0.0012090916161059018,3626
0.5,0.6012134583563155,0.655819084390513,0.001125595973524545,3626
0.55,0.5603971318257033,0.5664644236072808,0.0009856699944842803,3626
0.6,0.48510755653612797,0.4258135686707115,0.0007523698290126862,3626
0.65,0.3736900165471594,0.23607280750137893,0.00045491924986210705,3626
0.7,0.28709321566464424,0.09349145063430778,0.00019917214561500276,3626
0.75,0.24765581908439052,0.029509100937672367,8.819238830667402e-05,3626
0.8,0.22917815774958633,0.0002757859900717044,4.542741312741313e-05,3626
0.85,0.2289023717595146,0.0,4.517854384997242e-05,3626
0.9,0.2289023717595146,0.0,4.517854384997242e-05,3626
0.95,0.2289023717595146,0.0,4.517854384997242e-05,3626
