run,regime,seed,scorer,lambda,Q,C,frac_strong,fallback_frac
first_run,L1,102000,v1_frozen,,0.639436,0.00142241,0.76342,0.0
first_run,L1,102000,drl_pi,0,0.641814,0.00154041,0.78295,0.0
first_run,L1,102000,drl_pi,10,0.640795,0.00148378,0.77768,0.0
first_run,L1,102000,drl_pi,25,0.637908,0.00139521,0.76868,0.0
first_run,L1,102000,drl_pi,50,0.636549,0.00135697,0.76562,0.0
first_run,L1,102000,drl_pi,100,0.630605,0.00126627,0.75255,0.0
first_run,L1,102000,drl_pi,150,0.605808,0.00117144,0.71247,0.0
first_run,L1,102000,drl_pi,200,0.575068,0.00100843,0.65268,0.0
first_run,L1,102000,drl_pi,300,0.453974,0.00051564,0.44497,0.0
first_run,L1,102000,drl_pi,500,0.3857,0.00032985,0.31624,0.0
first_run,L1,102000,t_learner,0,0.642493,0.00157835,0.79501,0.0
first_run,L1,102000,t_learner,10,0.642493,0.00153875,0.7877,0.0
first_run,L1,102000,t_learner,25,0.640285,0.00142295,0.77836,0.0
first_run,L1,102000,t_learner,50,0.6357,0.00129515,0.76223,0.0
first_run,L1,102000,t_learner,100,0.629586,0.00121763,0.74626,0.0
first_run,L1,102000,t_learner,150,0.621433,0.00114324,0.72385,0.0
first_run,L1,102000,t_learner,200,0.599355,0.00101284,0.67612,0.0
first_run,L1,102000,t_learner,300,0.488281,0.00054494,0.48471,0.0
first_run,L1,102000,t_learner,500,0.40608,0.00033508,0.32829,0.0
first_run,L1,102000,direct_baseline,0,0.640965,0.00329386,0.99219,0.0
first_run,L1,102000,direct_baseline,10,0.639436,0.00322271,0.98879,0.0
first_run,L1,102000,direct_baseline,25,0.629925,0.00284936,0.95363,0.0
first_run,L1,102000,direct_baseline,50,0.620414,0.00128242,0.75357,0.0
first_run,L1,102000,direct_baseline,100,0.46909,0.00051909,0.4679,0.0
first_run,L1,102000,direct_baseline,150,0.388757,0.00032349,0.29127,0.0
first_run,L1,102000,direct_baseline,200,0.304857,0.00017439,0.13587,0.0
first_run,L1,102000,direct_baseline,300,0.227412,5.34e-05,0.01019,0.0
first_run,L1,102000,direct_baseline,500,0.220958,4.62e-05,0.00017,0.0
first_run,L1,102000,oracle_fullinfo,0,0.670516,0.00086602,0.44956,0.0
first_run,L1,102000,oracle_fullinfo,10,0.670516,0.00086601,0.44973,0.0
first_run,L1,102000,oracle_fullinfo,25,0.670516,0.00086601,0.44973,0.0
first_run,L1,102000,oracle_fullinfo,50,0.669497,0.00083651,0.44871,0.0
first_run,L1,102000,oracle_fullinfo,100,0.66661,0.00079997,0.44582,0.0
first_run,L1,102000,oracle_fullinfo,150,0.663383,0.00077307,0.4426,0.0
first_run,L1,102000,oracle_fullinfo,200,0.658458,0.00074556,0.43767,0.0
first_run,L1,102000,oracle_fullinfo,300,0.649966,0.00071068,0.42918,0.0
first_run,L1,102000,oracle_fullinfo,500,0.5107,0.00035093,0.28991,0.0
first_run,L1,102000,threshold_p_0.05,,0.642493,0.0015569,0.78906,0.0
first_run,L1,102000,threshold_p_0.10,,0.642323,0.00155082,0.78753,0.0
first_run,L1,102000,threshold_p_0.15,,0.642493,0.00152162,0.78261,0.0
first_run,L1,102000,threshold_p_0.20,,0.641984,0.00150376,0.77819,0.0
first_run,L1,102000,threshold_p_0.25,,0.641474,0.00149077,0.77463,0.0
first_run,L1,102000,threshold_p_0.30,,0.639436,0.00142241,0.76342,0.0
first_run,L1,102000,threshold_p_0.35,,0.63587,0.00136994,0.75068,0.0
first_run,L1,102000,threshold_p_0.40,,0.630265,0.00130872,0.72894,0.0
first_run,L1,102000,threshold_p_0.50,,0.597486,0.00111969,0.63995,0.0
first_run,L1,102000,threshold_p_0.60,,0.491338,0.00075089,0.42171,0.0
first_run,L1,102000,threshold_p_0.70,,0.291101,0.00019862,0.0912,0.0
first_run,L1,102001,v1_frozen,,0.639436,0.00142241,0.76342,0.0
first_run,L1,102001,drl_pi,0,0.641814,0.0015159,0.77989,0.0
first_run,L1,102001,drl_pi,10,0.640115,0.00145603,0.77361,0.0
first_run,L1,102001,drl_pi,25,0.638077,0.00140184,0.76919,0.0
first_run,L1,102001,drl_pi,50,0.636379,0.00135236,0.7641,0.0
first_run,L1,102001,drl_pi,100,0.631114,0.00125796,0.75119,0.0
first_run,L1,102001,drl_pi,150,0.605299,0.00115279,0.70703,0.0
first_run,L1,102001,drl_pi,200,0.568444,0.00097189,0.64164,0.0
first_run,L1,102001,drl_pi,300,0.454484,0.00051349,0.44531,0.0
first_run,L1,102001,drl_pi,500,0.388757,0.00033213,0.31963,0.0
first_run,L1,102001,t_learner,0,0.642493,0.00157126,0.79297,0.0
first_run,L1,102001,t_learner,10,0.642493,0.00153751,0.78753,0.0
first_run,L1,102001,t_learner,25,0.640285,0.00142141,0.77819,0.0
first_run,L1,102001,t_learner,50,0.63536,0.00129118,0.76138,0.0
first_run,L1,102001,t_learner,100,0.629586,0.00121671,0.74592,0.0
first_run,L1,102001,t_learner,150,0.621433,0.00114181,0.72334,0.0
first_run,L1,102001,t_learner,200,0.598845,0.00100784,0.67425,0.0
first_run,L1,102001,t_learner,300,0.488111,0.00054443,0.48438,0.0
first_run,L1,102001,t_learner,500,0.404042,0.00033212,0.32541,0.0
first_run,L1,102001,direct_baseline,0,0.640965,0.0032933,0.99168,0.0
first_run,L1,102001,direct_baseline,10,0.639436,0.00322215,0.98828,0.0
first_run,L1,102001,direct_baseline,25,0.630435,0.00284682,0.95312,0.0
first_run,L1,102001,direct_baseline,50,0.619395,0.00128062,0.75153,0.0
first_run,L1,102001,direct_baseline,100,0.466542,0.00051141,0.45788,0.0
first_run,L1,102001,direct_baseline,150,0.381114,0.0003144,0.28057,0.0
first_run,L1,102001,direct_baseline,200,0.293818,0.0001574,0.11685,0.0
first_run,L1,102001,direct_baseline,300,0.223845,4.94e-05,0.00476,0.0
first_run,L1,102001,direct_baseline,500,0.220958,4.62e-05,0.00017,0.0
first_run,L1,102001,oracle_fullinfo,0,0.670516,0.00086602,0.44956,0.0
first_run,L1,102001,oracle_fullinfo,10,0.670516,0.00086601,0.44973,0.0
first_run,L1,102001,oracle_fullinfo,25,0.670516,0.00086601,0.44973,0.0
first_run,L1,102001,oracle_fullinfo,50,0.669497,0.00083651,0.44871,0.0
first_run,L1,102001,oracle_fullinfo,100,0.66661,0.00079997,0.44582,0.0
first_run,L1,102001,oracle_fullinfo,150,0.663383,0.00077307,0.4426,0.0
first_run,L1,102001,oracle_fullinfo,200,0.658458,0.00074556,0.43767,0.0
first_run,L1,102001,oracle_fullinfo,300,0.649966,0.00071068,0.42918,0.0
