regime,seed,unsupported_frac,overlap_fail,ess_fail,count_fail,min_decile_strong,pv_drl,pv_drl_truth,pv_v1,pv_v1_truth,ess_frac_v1,max_w_v1
L1,102000,0.0,0,0,0,1127,0.641091,0.641592,0.641764,0.641113,1.0,2.0
L1,102001,0.0,0,0,0,1135,0.640079,0.641592,0.639331,0.641113,1.0,2.0
L1,102002,0.0,0,0,0,1107,0.637806,0.641626,0.637439,0.641113,1.0,2.0
L1,102003,0.0,0,0,0,1143,0.638913,0.641558,0.638442,0.641113,1.0,2.0
L1,102004,0.0,0,0,0,1155,0.641586,0.641592,0.641644,0.641113,1.0,2.0
L1,102005,0.0,0,0,0,1114,0.641538,0.641592,0.641859,0.641113,1.0,2.0
L1,102006,0.0,0,0,0,1148,0.644712,0.641661,0.645023,0.641113,1.0,2.0
L1,102007,0.0,0,0,0,1110,0.640232,0.641626,0.639478,0.641113,1.0,2.0
L1,102008,0.0,0,0,0,1121,0.637889,0.641592,0.636984,0.641113,1.0,2.0
L1,102009,0.0,0,0,0,1145,0.637842,0.641592,0.63744,0.641113,1.0,2.0
L2,102000,0.0,0,0,0,448,0.641234,0.641626,0.641968,0.641113,1.0,1.25
L2,102001,0.0,0,0,0,444,0.643328,0.641661,0.642541,0.641113,1.0,1.25
L2,102002,0.0,0,0,0,440,0.639508,0.641626,0.639073,0.641113,1.0,1.25
L2,102003,0.0,0,0,0,461,0.638641,0.641661,0.639051,0.641113,1.0,1.25
L2,102004,0.0,0,0,0,464,0.642171,0.641626,0.64097,0.641113,1.0,1.25
L2,102005,0.0,0,0,0,445,0.640611,0.641558,0.641053,0.641113,1.0,1.25
L2,102006,0.0,0,0,0,460,0.642949,0.641695,0.642628,0.641113,1.0,1.25
L2,102007,0.0,0,0,0,485,0.641476,0.641626,0.640998,0.641113,1.0,1.25
L2,102008,0.0,0,0,0,462,0.639984,0.641626,0.63967,0.641113,1.0,1.25
L2,102009,0.0,0,0,0,451,0.639933,0.641626,0.639346,0.641113,1.0,1.25
L3,102000,0.0,0,0,0,217,0.64075,0.641558,0.641558,0.641113,1.0,1.111
L3,102001,0.0,0,0,0,232,0.641796,0.641387,0.641549,0.641113,1.0,1.111
L3,102002,0.0,0,0,0,227,0.640708,0.641729,0.639897,0.641113,1.0,1.111
L3,102003,0.0,0,0,0,231,0.639909,0.641592,0.640576,0.641113,1.0,1.111
L3,102004,0.0,0,0,0,211,0.64208,0.641592,0.640503,0.641113,1.0,1.111
L3,102005,0.0,0,0,0,215,0.640331,0.641626,0.640601,0.641113,1.0,1.111
L3,102006,0.0,0,0,0,218,0.641842,0.641626,0.641129,0.641113,1.0,1.111
L3,102007,0.0,0,0,0,230,0.640696,0.641626,0.641002,0.641113,1.0,1.111
L3,102008,0.0,0,0,0,228,0.63926,0.641558,0.639277,0.641113,1.0,1.111
L3,102009,0.0,0,0,0,234,0.640212,0.641558,0.640247,0.641113,1.0,1.111
