estimator,tau,quality,cost,frac_strong
GLOBAL,0.0,0.64289385,0.0032888835,1.0
GLOBAL,0.05,0.64289385,0.0032888835,1.0
GLOBAL,0.1,0.64289385,0.0032888835,1.0
GLOBAL,0.2,0.64289385,0.0032888835,1.0
GLOBAL,0.3,0.64289385,0.0032888835,1.0
GLOBAL,0.5,0.21673004,4.578012e-05,0.0
GLOBAL,1.0,0.21673004,4.578012e-05,0.0
TASK,0.0,0.64289385,0.0032888835,1.0
TASK,0.05,0.64289385,0.0032888835,1.0
TASK,0.1,0.64289385,0.0032888835,1.0
TASK,0.2,0.64289385,0.0032888835,1.0
TASK,0.3,0.64289385,0.0032888835,1.0
TASK,0.5,0.21673004,4.578012e-05,0.0
TASK,1.0,0.21673004,4.578012e-05,0.0
KNN,0.0,0.6408043,0.0032784236,0.9946219984242798
KNN,0.05,0.63902307,0.0032678712,0.9894837803583051
KNN,0.1,0.6351523,0.003227091,0.9773918405097113
KNN,0.2,0.62083375,0.0031633994,0.9459116911588394
KNN,0.3,0.5866817,0.0030457468,0.8792861302367005
KNN,0.5,0.43983147,0.0025012905,0.6026787243517282
KNN,1.0,0.21673004,4.578012e-05,0.0
HIER,0.0,0.64289385,0.0032888835,1.0
HIER,0.05,0.64289385,0.0032888835,1.0
HIER,0.1,0.64289385,0.0032888835,1.0
HIER,0.2,0.64289385,0.0032882015,0.9993491590449766
HIER,0.3,0.6424143,0.0032576323,0.9944164697016408
HIER,0.5,0.21813448,4.7502475e-05,0.0019182680779638954
HIER,1.0,0.21673004,4.578012e-05,0.0
