a,b,acc_a,acc_b,p_b_ok_given_a_fail,p_a_ok_given_b_fail,cofail_jaccard,uniq_rescue_b_over_a,uniq_rescue_a_over_b,uniq_rescue_pp_b,uniq_rescue_pp_a,extra_cost_b_vs_a,uniq_rescues_per_extra_dollar_b
mistralai/mistral-7b-chat,gpt-4-1106-preview,0.2167,0.6429,0.5806,0.0801,0.4046,13276,835,45.477,2.86,0.0032431,4093610.1
mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2,0.2167,0.3232,0.2251,0.1032,0.7114,5147,2040,17.631,6.988,2.72e-05,189388529.8
mistralai/mistral-7b-chat,claude-instant-v1,0.2167,0.4655,0.4345,0.1712,0.5063,9935,2672,34.032,9.153,0.0001871,53087028.6
mistralai/mistral-7b-chat,claude-v1,0.2167,0.496,0.4491,0.1438,0.5043,10268,2115,35.173,7.245,0.002097,4896493.6
mistralai/mistral-7b-chat,claude-v2,0.2167,0.4946,0.4763,0.1884,0.4669,10891,2780,37.307,9.523,0.0023714,4592615.7
mistralai/mistral-7b-chat,gpt-3.5-turbo-1106,0.2167,0.4922,0.4602,0.1674,0.4869,10523,2482,36.046,8.502,0.0001976,53248628.2
mistralai/mistral-7b-chat,meta/code-llama-instruct-34b-chat,0.2167,0.1032,0.0125,0.1375,0.8532,285,3600,0.976,12.332,0.0001264,2254719.5
mistralai/mistral-7b-chat,meta/llama-2-70b-chat,0.2167,0.2174,0.2017,0.201,0.6647,4613,4593,15.802,15.733,0.000157,29389264.6
mistralai/mistral-7b-chat,mistralai/mixtral-8x7b-chat,0.2167,0.4366,0.3374,0.0789,0.627,7716,1297,26.431,4.443,8.89e-05,86820950.5
mistralai/mistral-7b-chat,zero-one-ai/Yi-34B-Chat,0.2167,0.5315,0.4702,0.1143,0.4959,10752,1564,36.831,5.357,0.0001398,76930176.4
gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2,0.6429,0.3232,0.0817,0.5155,0.4645,852,10186,2.919,34.892,-0.0032159,852000000000000.0
gpt-4-1106-preview,claude-instant-v1,0.6429,0.4655,0.1057,0.4025,0.5581,1102,6280,3.775,21.512,-0.003056,1102000000000000.0
gpt-4-1106-preview,claude-v1,0.6429,0.496,0.1004,0.3626,0.5951,1047,5335,3.586,18.275,-0.0011461,1047000000000000.0
gpt-4-1106-preview,claude-v2,0.6429,0.4946,0.1027,0.366,0.5911,1071,5401,3.669,18.501,-0.0008717,1071000000000000.0
gpt-4-1106-preview,gpt-3.5-turbo-1106,0.6429,0.4922,0.1227,0.3831,0.5679,1279,5679,4.381,19.453,-0.0030455,1279000000000000.0
gpt-4-1106-preview,meta/code-llama-instruct-34b-chat,0.6429,0.1032,0.0323,0.6147,0.3804,337,16093,1.154,55.126,-0.0031167,337000000000000.0
