subset,size,oracle_quality,oracle_cost,all_called_cost
mistralai/mistral-7b-chat,1,0.21673,4.58e-05,4.58e-05
gpt-4-1106-preview,1,0.64289,0.0032889,0.0032889
WizardLM/WizardLM-13B-V1.2,1,0.32316,7.3e-05,7.3e-05
claude-instant-v1,1,0.46552,0.0002329,0.0002329
claude-v1,1,0.49601,0.0021428,0.0021428
claude-v2,1,0.49457,0.0024172,0.0024172
gpt-3.5-turbo-1106,1,0.49217,0.0002434,0.0002434
meta/code-llama-instruct-34b-chat,1,0.10318,0.0001722,0.0001722
meta/llama-2-70b-chat,1,0.21742,0.0002027,0.0002027
mistralai/mixtral-8x7b-chat,1,0.43661,0.0001347,0.0001347
zero-one-ai/Yi-34B-Chat,1,0.53146,0.0001855,0.0001855
mistralai/mistral-7b-chat|gpt-4-1106-preview,2,0.6715,0.0015206,0.0033347
mistralai/mistral-7b-chat|WizardLM/WizardLM-13B-V1.2,2,0.39304,5.06e-05,0.0001187
mistralai/mistral-7b-chat|claude-instant-v1,2,0.55705,0.0001095,0.0002787
mistralai/mistral-7b-chat|claude-v1,2,0.56846,0.0007834,0.0021886
mistralai/mistral-7b-chat|claude-v2,2,0.5898,0.0009305,0.002463
mistralai/mistral-7b-chat|gpt-3.5-turbo-1106,2,0.57719,0.000117,0.0002892
mistralai/mistral-7b-chat|meta/code-llama-instruct-34b-chat,2,0.22649,4.7e-05,0.000218
mistralai/mistral-7b-chat|meta/llama-2-70b-chat,2,0.37475,7.06e-05,0.0002485
mistralai/mistral-7b-chat|mistralai/mixtral-8x7b-chat,2,0.48104,6.93e-05,0.0001804
mistralai/mistral-7b-chat|zero-one-ai/Yi-34B-Chat,2,0.58504,9.73e-05,0.0002313
gpt-4-1106-preview|WizardLM/WizardLM-13B-V1.2,2,0.67208,0.0011951,0.0033618
gpt-4-1106-preview|claude-instant-v1,2,0.68064,0.0008903,0.0035218
gpt-4-1106-preview|claude-v1,2,0.67876,0.0023522,0.0054317
gpt-4-1106-preview|claude-v2,2,0.67958,0.0025785,0.0057061
gpt-4-1106-preview|gpt-3.5-turbo-1106,2,0.68671,0.0008358,0.0035323
gpt-4-1106-preview|meta/code-llama-instruct-34b-chat,2,0.65444,0.0018903,0.0034611
gpt-4-1106-preview|meta/llama-2-70b-chat,2,0.65865,0.0015645,0.0034916
gpt-4-1106-preview|mistralai/mixtral-8x7b-chat,2,0.67694,0.0008927,0.0034235
gpt-4-1106-preview|zero-one-ai/Yi-34B-Chat,2,0.68934,0.0006755,0.0034744
WizardLM/WizardLM-13B-V1.2|claude-instant-v1,2,0.55369,0.0001098,0.0003059
WizardLM/WizardLM-13B-V1.2|claude-v1,2,0.55996,0.0005631,0.0022157
WizardLM/WizardLM-13B-V1.2|claude-v2,2,0.57911,0.000673,0.0024902
WizardLM/WizardLM-13B-V1.2|gpt-3.5-turbo-1106,2,0.57973,0.0001167,0.0003164
WizardLM/WizardLM-13B-V1.2|meta/code-llama-instruct-34b-chat,2,0.3483,7.55e-05,0.0002451
WizardLM/WizardLM-13B-V1.2|meta/llama-2-70b-chat,2,0.43075,8.69e-05,0.0002757
WizardLM/WizardLM-13B-V1.2|mistralai/mixtral-8x7b-chat,2,0.50796,8.44e-05,0.0002076
WizardLM/WizardLM-13B-V1.2|zero-one-ai/Yi-34B-Chat,2,0.59182,0.0001032,0.0002585
claude-instant-v1|claude-v1,2,0.56812,0.0004289,0.0023757
claude-instant-v1|claude-v2,2,0.57469,0.0004714,0.0026501
claude-instant-v1|gpt-3.5-turbo-1106,2,0.60018,0.0002343,0.0004763
claude-instant-v1|meta/code-llama-instruct-34b-chat,2,0.50437,0.0001966,0.0004051
claude-instant-v1|meta/llama-2-70b-chat,2,0.51413,0.0002117,0.0004357
claude-instant-v1|mistralai/mixtral-8x7b-chat,2,0.58483,0.0001492,0.0003676
claude-instant-v1|zero-one-ai/Yi-34B-Chat,2,0.60813,0.0001892,0.0004185
claude-v1|claude-v2,2,0.58219,0.0021664,0.00456
claude-v1|gpt-3.5-turbo-1106,2,0.61018,0.0004675,0.0023862
claude-v1|meta/code-llama-instruct-34b-chat,2,0.52471,0.0010029,0.002315
claude-v1|meta/llama-2-70b-chat,2,0.53941,0.0008274,0.0023455
claude-v1|mistralai/mixtral-8x7b-chat,2,0.58247,0.0004276,0.0022774
claude-v1|zero-one-ai/Yi-34B-Chat,2,0.61765,0.0003542,0.0023283
claude-v2|gpt-3.5-turbo-1106,2,0.60864,0.0004966,0.0026606
claude-v2|meta/code-llama-instruct-34b-chat,2,0.53359,0.0011385,0.0025894
claude-v2|meta/llama-2-70b-chat,2,0.5365,0.0009093,0.0026199
claude-v2|mistralai/mixtral-8x7b-chat,2,0.59908,0.0005055,0.0025518
claude-v2|zero-one-ai/Yi-34B-Chat,2,0.61833,0.0003794,0.0026027
gpt-3.5-turbo-1106|meta/code-llama-instruct-34b-chat,2,0.54112,0.0002034,0.0004156
gpt-3.5-turbo-1106|meta/llama-2-70b-chat,2,0.55212,0.0002164,0.0004461
gpt-3.5-turbo-1106|mistralai/mixtral-8x7b-chat,2,0.59442,0.0001518,0.0003781
gpt-3.5-turbo-1106|zero-one-ai/Yi-34B-Chat,2,0.63553,0.0001916,0.0004289
meta/code-llama-instruct-34b-chat|meta/llama-2-70b-chat,2,0.26845,0.0001772,0.0003749
meta/code-llama-instruct-34b-chat|mistralai/mixtral-8x7b-chat,2,0.45477,0.0001353,0.0003068
meta/code-llama-instruct-34b-chat|zero-one-ai/Yi-34B-Chat,2,0.54787,0.0001781,0.0003577
meta/llama-2-70b-chat|mistralai/mixtral-8x7b-chat,2,0.52889,0.0001409,0.0003374
meta/llama-2-70b-chat|zero-one-ai/Yi-34B-Chat,2,0.56849,0.0001862,0.0003883
mistralai/mixtral-8x7b-chat|zero-one-ai/Yi-34B-Chat,2,0.61361,0.0001437,0.0003202
mistralai/mistral-7b-chat|gpt-4-1106-preview|WizardLM/WizardLM-13B-V1.2,3,0.69085,0.0010164,0.0034076
mistralai/mistral-7b-chat|gpt-4-1106-preview|claude-instant-v1,3,0.70476,0.0005885,0.0035676
mistralai/mistral-7b-chat|gpt-4-1106-preview|claude-v1,3,0.70253,0.0012182,0.0054775
